account_id,customer_id,account_type,currency,balance,status,opened_date
daa7f21b-bd04-49ff-babe-6fe6e2365ed9,22f8b708-3d94-4487-85b0-05120688c1de,SAVINGS,USD,45327.25,ACTIVE,2023-06-25
5f005059-9c22-4ccb-acef-744760fecda4,21c23db2-4467-4689-a380-0e6c5b689caf,SAVINGS,USD,18358.96,ACTIVE,2022-02-01
c6814564-a26a-4288-95fa-4d6be88fb85e,182b1d7d-40ff-4e5c-8cca-ad43143de6bc,BUSINESS,USD,4916.02,ACTIVE,2025-10-25
cb920832-2f7d-47f9-b7ee-306cb3aaf660,f210a9e9-50cb-4934-bd83-d9bfeab17319,BUSINESS,USD,28430.83,ACTIVE,2024-02-21
bda542eb-06a0-4f74-acd0-2ce577348f97,d7432295-b024-4e95-9222-3d05144cd975,SAVINGS,USD,34889.59,ACTIVE,2025-09-19
e1394d5c-9032-49b6-bf2d-95f4cf4b7932,01516e3a-96f9-4857-9586-17ce40258ae6,CHECKING,USD,35395.77,ACTIVE,2024-07-03
e9b34c06-58b3-450e-ab9a-d5ff5a0bd499,78a4f912-7ce2-4d41-9e10-6cf98cb1fc44,CHECKING,USD,16131.27,ACTIVE,2025-03-20
5ca55421-044d-45f8-bd7e-351f329f1f94,fe8ea70e-836d-4bf2-91df-0b804d3965f1,BUSINESS,USD,8311.72,ACTIVE,2022-07-26
a56eaa8f-b560-4752-abcc-353b8d32f6b6,41b5ed44-d892-47cb-b0de-7c1446f9b023,BUSINESS,USD,26407.03,ACTIVE,2023-12-30
19321582-7086-44b9-9d34-e3255176d83b,85b18840-9621-49aa-a382-7542bf94facc,CHECKING,USD,2966.09,ACTIVE,2022-07-23
331eabe9-7e4d-4c9a-b442-dbf1c2f2e89a,4fa7b2ad-dd5d-498b-b000-ba47497b5fc9,CHECKING,USD,45944.98,ACTIVE,2024-12-09
493ccb76-70b8-4043-856d-82dd1dd5ec85,5eb40d66-727e-4cc0-89de-276c7c9cd2ad,CHECKING,USD,16539.16,ACTIVE,2025-08-29
a0b1e61b-9d90-4cf8-828d-9ff7a2e29866,e4946c1b-d738-47ae-9b6c-a0a05d421df1,SAVINGS,USD,39606.22,ACTIVE,2021-12-10
32420876-d95c-4728-bf3c-a40fd701af9d,eb0ad524-e124-46b4-94f2-6ba4584db38a,CHECKING,USD,41374.32,ACTIVE,2021-08-30
12193cd5-5cfc-475c-9ec2-fdef56c4e453,9ba1d8b8-acff-4556-8996-c8f8f0fa2b16,BUSINESS,USD,9487.54,ACTIVE,2024-05-21
004be10a-32da-405f-82e9-8a7e2c210eb2,4df9e031-0d38-461f-bf34-51736b25cc6b,CHECKING,USD,14932.84,ACTIVE,2022-02-25
